Firma;Telefon;Email;Adresse;PLZ;Ort;Homepage
Bernd Rossbacher;-;office@rossbacher-at.com;-;1050;Wien;"=HYPERLINK(""https://www.rossbacher-at.com"",""Website"")"
Günther Weber Installationsges.m.b.H.;-;office@installateur-weber.co.at;-;1210;Wien;"=HYPERLINK(""http://www.installateur-weber.co.at"",""Website"")"
G. Weiner Gas - Wasser - Heizung Gesellschaft m.b.H.;-;office@weiner-gmbh.at;-;1160;Wien;"=HYPERLINK(""http://www.weiner-gmbh.at"",""Website"")"
Ing. Gerd Blasl Gas - Wasser - Heizung GmbH;-;office@blasl-gmbh.at;-;1160;Wien;"=HYPERLINK(""http://www.blasl-gmbh.at"",""Website"")"
J. Remes Gas-Wasser-Heizung GmbH;-;office@remes-gmbh.at;-;1170;Wien;"=HYPERLINK(""http://www.remes-gmbh.at"",""Website"")"
BRANKOVIC HAUSTECHNIK GmbH;-;haustechnik@brankovic.at;-;1140;Wien;"=HYPERLINK(""https://brankovic.at"",""Website"")"
Installateur Fachbetrieb, Thomas Pfeiffer e.U.;-;thomas@ifb-pfeiffer.at;-;1180;Wien;"=HYPERLINK(""http://ifb-pfeiffer.at"",""Website"")"
PB-Installationen GesmbH;-;office@pb-installationen.at;-;1150;Wien;"=HYPERLINK(""https://pb-installationen.at"",""Website"")"
B-GAS - Installateur & Notdienst + Vaillant, Junkers, Baxi Service;-;office@b-gas.at;-;1220;Wien;"=HYPERLINK(""https://www.installateur-bgas.at/installateur-notdienst/"",""Website"")"
Heizung Sanitär H. Uhrmann Ges.m.b.H.;-;office@uhrmann.at;-;1220;Wien;"=HYPERLINK(""http://www.uhrmann.at/"",""Website"")"
Heinzel Installationen GmbH;-;-;-;1170;Wien;"=HYPERLINK(""http://www.heinzel-installationen.at"",""Website"")"
Gastec GmbH;-;office@gastec.at;-;1140;Wien;"=HYPERLINK(""http://www.gastec.at"",""Website"")"
Installateur Kutzer GesmbH;-;office@kutzer.at;-;1030;Wien;"=HYPERLINK(""http://www.kutzer.at"",""Website"")"
1a Installateur - Doubek GesmbH;-;office@doubek.at;-;1030;Wien;"=HYPERLINK(""https://www.1a-doubek.at/"",""Website"")"
Ing. Günter Vida  - Sanitär- und Heizungstechnik, Gasgeräteservice und Reparaturdienst;-;office@immervida.at;-;1120;Wien;"=HYPERLINK(""https://www.immervida.at"",""Website"")"
Korkisch & Partner GmbH;-;office@korkisch.at;-;1130;Wien;"=HYPERLINK(""https://www.korkisch.at"",""Website"")"
Schuh Installationen e.U.;-;schuh.installationen@a1business.at;-;1220;Wien;"=HYPERLINK(""https://www.schuh-installationen.at"",""Website"")"
Lugar Installateur GmbH;-;office@lugar.at;-;1230;Wien;"=HYPERLINK(""https://www.lugar.at/wien23/gutscheine/"",""Website"")"
TSN Installateur GmbH;-;office@installateur-tsn.at;-;1180;Wien;"=HYPERLINK(""https://www.installateur-tsn.at"",""Website"")"
Allgas - Volkmann GmbH - Gasgerätekundendienst;-;gasgeraete@allgas.at;-;1160;Wien;"=HYPERLINK(""https://www.allgas.at"",""Website"")"
TSN Installateur GmbH;-;office@installateur-tsn.at;-;1180;Wien;"=HYPERLINK(""https://www.installateur-tsn.at"",""Website"")"
Pölzl Christoph GmbH;-;office@poelzl-installationen.at;-;1060;Wien;"=HYPERLINK(""https://www.poelzl-installationen.at"",""Website"")"
AR All Round Installationen GmbH;-;office@ar-allround-installationen.at;-;1230;Wien;"=HYPERLINK(""http://www.ar-allround-installationen.at"",""Website"")"
REIDER GWH Installationen e.U. Inh Michael Reider;-;office@installateur-reider.com;-;1070;Wien;"=HYPERLINK(""http://www.installateur-reider.com"",""Website"")"
Offner-Service Installationen GesmbH;-;office@offnerwien.at;-;1210;Wien;"=HYPERLINK(""https://offnerwien.at"",""Website"")"
Lugar Installateur GmbH;-;office@lugar.at;-;1230;Wien;"=HYPERLINK(""https://www.lugar.at/wien23/gutscheine/"",""Website"")"
G.S.H.T Installateur Notdienst;-;gsht@aon.at;-;1030;Wien;"=HYPERLINK(""http://www.notdienst-installateur.at"",""Website"")"
Installateur Schild & Schauer;-;office@installateur-schild-schauer.at;-;1130;Wien;"=HYPERLINK(""https://installateur-schild-schauer.at/"",""Website"")"
Lugar Installateur GmbH;-;wien13@lugar.at;-;1130;Wien;"=HYPERLINK(""https://www.lugar.at/wien13/gutscheine/"",""Website"")"
G.S.H.T Installateur Notdienst;-;gsht@aon.at;-;1220;Wien;"=HYPERLINK(""http://www.notdienst-installateur.at"",""Website"")"
Georg Wagner GmbH;-;office@doktor-wasser.at;-;1140;Wien;"=HYPERLINK(""http://www.doktor-wasser.at"",""Website"")"
Peham Ihr Installateur;-;office@peham-fachhandwerk.at;-;3150;Wilhelmsburg;"=HYPERLINK(""https://www.peham-installateur.at/"",""Website"")"
Bernd Rossbacher;-;office@rossbacher-at.com;-;1050;Wien;"=HYPERLINK(""https://www.rossbacher-at.com"",""Website"")"
Günther Weber Installationsges.m.b.H.;-;office@installateur-weber.co.at;-;1210;Wien;"=HYPERLINK(""http://www.installateur-weber.co.at"",""Website"")"
G. Weiner Gas - Wasser - Heizung Gesellschaft m.b.H.;-;office@weiner-gmbh.at;-;1160;Wien;"=HYPERLINK(""http://www.weiner-gmbh.at"",""Website"")"
Ing. Gerd Blasl Gas - Wasser - Heizung GmbH;-;office@blasl-gmbh.at;-;1160;Wien;"=HYPERLINK(""http://www.blasl-gmbh.at"",""Website"")"
J. Remes Gas-Wasser-Heizung GmbH;-;office@remes-gmbh.at;-;1170;Wien;"=HYPERLINK(""http://www.remes-gmbh.at"",""Website"")"
BRANKOVIC HAUSTECHNIK GmbH;-;haustechnik@brankovic.at;-;1140;Wien;"=HYPERLINK(""https://brankovic.at"",""Website"")"
Installateur Fachbetrieb, Thomas Pfeiffer e.U.;-;thomas@ifb-pfeiffer.at;-;1180;Wien;"=HYPERLINK(""http://ifb-pfeiffer.at"",""Website"")"
PB-Installationen GesmbH;-;office@pb-installationen.at;-;1150;Wien;"=HYPERLINK(""https://pb-installationen.at"",""Website"")"
B-GAS - Installateur & Notdienst + Vaillant, Junkers, Baxi Service;-;office@b-gas.at;-;1220;Wien;"=HYPERLINK(""https://www.installateur-bgas.at/installateur-notdienst/"",""Website"")"
Heizung Sanitär H. Uhrmann Ges.m.b.H.;-;office@uhrmann.at;-;1220;Wien;"=HYPERLINK(""http://www.uhrmann.at/"",""Website"")"
Heinzel Installationen GmbH;-;-;-;1170;Wien;"=HYPERLINK(""http://www.heinzel-installationen.at"",""Website"")"
Gastec GmbH;-;office@gastec.at;-;1140;Wien;"=HYPERLINK(""http://www.gastec.at"",""Website"")"
Installateur Kutzer GesmbH;-;office@kutzer.at;-;1030;Wien;"=HYPERLINK(""http://www.kutzer.at"",""Website"")"
1a Installateur - Doubek GesmbH;-;office@doubek.at;-;1030;Wien;"=HYPERLINK(""https://www.1a-doubek.at/"",""Website"")"
Ing. Günter Vida  - Sanitär- und Heizungstechnik, Gasgeräteservice und Reparaturdienst;-;office@immervida.at;-;1120;Wien;"=HYPERLINK(""https://www.immervida.at"",""Website"")"
Korkisch & Partner GmbH;-;office@korkisch.at;-;1130;Wien;"=HYPERLINK(""https://www.korkisch.at"",""Website"")"
Schuh Installationen e.U.;-;schuh.installationen@a1business.at;-;1220;Wien;"=HYPERLINK(""https://www.schuh-installationen.at"",""Website"")"
Lugar Installateur GmbH;-;office@lugar.at;-;1230;Wien;"=HYPERLINK(""https://www.lugar.at/wien23/gutscheine/"",""Website"")"
TSN Installateur GmbH;-;office@installateur-tsn.at;-;1180;Wien;"=HYPERLINK(""https://www.installateur-tsn.at"",""Website"")"
Allgas - Volkmann GmbH - Gasgerätekundendienst;-;gasgeraete@allgas.at;-;1160;Wien;"=HYPERLINK(""https://www.allgas.at"",""Website"")"
TSN Installateur GmbH;-;office@installateur-tsn.at;-;1180;Wien;"=HYPERLINK(""https://www.installateur-tsn.at"",""Website"")"
Pölzl Christoph GmbH;-;office@poelzl-installationen.at;-;1060;Wien;"=HYPERLINK(""https://www.poelzl-installationen.at"",""Website"")"
AR All Round Installationen GmbH;-;office@ar-allround-installationen.at;-;1230;Wien;"=HYPERLINK(""http://www.ar-allround-installationen.at"",""Website"")"
REIDER GWH Installationen e.U. Inh Michael Reider;-;office@installateur-reider.com;-;1070;Wien;"=HYPERLINK(""http://www.installateur-reider.com"",""Website"")"
Offner-Service Installationen GesmbH;-;office@offnerwien.at;-;1210;Wien;"=HYPERLINK(""https://offnerwien.at"",""Website"")"
Lugar Installateur GmbH;-;office@lugar.at;-;1230;Wien;"=HYPERLINK(""https://www.lugar.at/wien23/gutscheine/"",""Website"")"
G.S.H.T Installateur Notdienst;-;gsht@aon.at;-;1030;Wien;"=HYPERLINK(""http://www.notdienst-installateur.at"",""Website"")"
Installateur Schild & Schauer;-;office@installateur-schild-schauer.at;-;1130;Wien;"=HYPERLINK(""https://installateur-schild-schauer.at/"",""Website"")"
Lugar Installateur GmbH;-;wien13@lugar.at;-;1130;Wien;"=HYPERLINK(""https://www.lugar.at/wien13/gutscheine/"",""Website"")"
G.S.H.T Installateur Notdienst;-;gsht@aon.at;-;1220;Wien;"=HYPERLINK(""http://www.notdienst-installateur.at"",""Website"")"
Georg Wagner GmbH;-;office@doktor-wasser.at;-;1140;Wien;"=HYPERLINK(""http://www.doktor-wasser.at"",""Website"")"
Peham Ihr Installateur;-;office@peham-fachhandwerk.at;-;3150;Wilhelmsburg;"=HYPERLINK(""https://www.peham-installateur.at/"",""Website"")"
Bernd Rossbacher;-;office@rossbacher-at.com;-;1050;Wien;"=HYPERLINK(""https://www.rossbacher-at.com"",""Website"")"
Günther Weber Installationsges.m.b.H.;-;office@installateur-weber.co.at;-;1210;Wien;"=HYPERLINK(""http://www.installateur-weber.co.at"",""Website"")"
G. Weiner Gas - Wasser - Heizung Gesellschaft m.b.H.;-;office@weiner-gmbh.at;-;1160;Wien;"=HYPERLINK(""http://www.weiner-gmbh.at"",""Website"")"
Ing. Gerd Blasl Gas - Wasser - Heizung GmbH;-;office@blasl-gmbh.at;-;1160;Wien;"=HYPERLINK(""http://www.blasl-gmbh.at"",""Website"")"
J. Remes Gas-Wasser-Heizung GmbH;-;office@remes-gmbh.at;-;1170;Wien;"=HYPERLINK(""http://www.remes-gmbh.at"",""Website"")"
BRANKOVIC HAUSTECHNIK GmbH;-;haustechnik@brankovic.at;-;1140;Wien;"=HYPERLINK(""https://brankovic.at"",""Website"")"
Installateur Fachbetrieb, Thomas Pfeiffer e.U.;-;thomas@ifb-pfeiffer.at;-;1180;Wien;"=HYPERLINK(""http://ifb-pfeiffer.at"",""Website"")"
PB-Installationen GesmbH;-;office@pb-installationen.at;-;1150;Wien;"=HYPERLINK(""https://pb-installationen.at"",""Website"")"
B-GAS - Installateur & Notdienst + Vaillant, Junkers, Baxi Service;-;office@b-gas.at;-;1220;Wien;"=HYPERLINK(""https://www.installateur-bgas.at/installateur-notdienst/"",""Website"")"
Heizung Sanitär H. Uhrmann Ges.m.b.H.;-;office@uhrmann.at;-;1220;Wien;"=HYPERLINK(""http://www.uhrmann.at/"",""Website"")"
Heinzel Installationen GmbH;-;-;-;1170;Wien;"=HYPERLINK(""http://www.heinzel-installationen.at"",""Website"")"
Gastec GmbH;-;office@gastec.at;-;1140;Wien;"=HYPERLINK(""http://www.gastec.at"",""Website"")"
Installateur Kutzer GesmbH;-;office@kutzer.at;-;1030;Wien;"=HYPERLINK(""http://www.kutzer.at"",""Website"")"
1a Installateur - Doubek GesmbH;-;office@doubek.at;-;1030;Wien;"=HYPERLINK(""https://www.1a-doubek.at/"",""Website"")"
Ing. Günter Vida  - Sanitär- und Heizungstechnik, Gasgeräteservice und Reparaturdienst;-;office@immervida.at;-;1120;Wien;"=HYPERLINK(""https://www.immervida.at"",""Website"")"
Korkisch & Partner GmbH;-;office@korkisch.at;-;1130;Wien;"=HYPERLINK(""https://www.korkisch.at"",""Website"")"
Schuh Installationen e.U.;-;schuh.installationen@a1business.at;-;1220;Wien;"=HYPERLINK(""https://www.schuh-installationen.at"",""Website"")"
TSN Installateur GmbH;-;office@installateur-tsn.at;-;1180;Wien;"=HYPERLINK(""https://www.installateur-tsn.at"",""Website"")"
Lugar Installateur GmbH;-;office@lugar.at;-;1230;Wien;"=HYPERLINK(""https://www.lugar.at/wien23/gutscheine/"",""Website"")"
Allgas - Volkmann GmbH - Gasgerätekundendienst;-;gasgeraete@allgas.at;-;1160;Wien;"=HYPERLINK(""https://www.allgas.at"",""Website"")"
TSN Installateur GmbH;-;office@installateur-tsn.at;-;1180;Wien;"=HYPERLINK(""https://www.installateur-tsn.at"",""Website"")"
Pölzl Christoph GmbH;-;office@poelzl-installationen.at;-;1060;Wien;"=HYPERLINK(""https://www.poelzl-installationen.at"",""Website"")"
AR All Round Installationen GmbH;-;office@ar-allround-installationen.at;-;1230;Wien;"=HYPERLINK(""http://www.ar-allround-installationen.at"",""Website"")"
REIDER GWH Installationen e.U. Inh Michael Reider;-;office@installateur-reider.com;-;1070;Wien;"=HYPERLINK(""http://www.installateur-reider.com"",""Website"")"
Offner-Service Installationen GesmbH;-;office@offnerwien.at;-;1210;Wien;"=HYPERLINK(""https://offnerwien.at"",""Website"")"
Lugar Installateur GmbH;-;office@lugar.at;-;1230;Wien;"=HYPERLINK(""https://www.lugar.at/wien23/gutscheine/"",""Website"")"
G.S.H.T Installateur Notdienst;-;gsht@aon.at;-;1030;Wien;"=HYPERLINK(""http://www.notdienst-installateur.at"",""Website"")"
Installateur Schild & Schauer;-;office@installateur-schild-schauer.at;-;1130;Wien;"=HYPERLINK(""https://installateur-schild-schauer.at/"",""Website"")"
Lugar Installateur GmbH;-;wien13@lugar.at;-;1130;Wien;"=HYPERLINK(""https://www.lugar.at/wien13/gutscheine/"",""Website"")"
G.S.H.T Installateur Notdienst;-;gsht@aon.at;-;1220;Wien;"=HYPERLINK(""http://www.notdienst-installateur.at"",""Website"")"
Georg Wagner GmbH;-;office@doktor-wasser.at;-;1140;Wien;"=HYPERLINK(""http://www.doktor-wasser.at"",""Website"")"
Peham Ihr Installateur;-;office@peham-fachhandwerk.at;-;3150;Wilhelmsburg;"=HYPERLINK(""https://www.peham-installateur.at/"",""Website"")"
Bernd Rossbacher;-;office@rossbacher-at.com;-;1050;Wien;"=HYPERLINK(""https://www.rossbacher-at.com"",""Website"")"
Günther Weber Installationsges.m.b.H.;-;office@installateur-weber.co.at;-;1210;Wien;"=HYPERLINK(""http://www.installateur-weber.co.at"",""Website"")"
G. Weiner Gas - Wasser - Heizung Gesellschaft m.b.H.;-;office@weiner-gmbh.at;-;1160;Wien;"=HYPERLINK(""http://www.weiner-gmbh.at"",""Website"")"
Ing. Gerd Blasl Gas - Wasser - Heizung GmbH;-;office@blasl-gmbh.at;-;1160;Wien;"=HYPERLINK(""http://www.blasl-gmbh.at"",""Website"")"
J. Remes Gas-Wasser-Heizung GmbH;-;office@remes-gmbh.at;-;1170;Wien;"=HYPERLINK(""http://www.remes-gmbh.at"",""Website"")"
BRANKOVIC HAUSTECHNIK GmbH;-;haustechnik@brankovic.at;-;1140;Wien;"=HYPERLINK(""https://brankovic.at"",""Website"")"
Installateur Fachbetrieb, Thomas Pfeiffer e.U.;-;thomas@ifb-pfeiffer.at;-;1180;Wien;"=HYPERLINK(""http://ifb-pfeiffer.at"",""Website"")"
PB-Installationen GesmbH;-;office@pb-installationen.at;-;1150;Wien;"=HYPERLINK(""https://pb-installationen.at"",""Website"")"
B-GAS - Installateur & Notdienst + Vaillant, Junkers, Baxi Service;-;office@b-gas.at;-;1220;Wien;"=HYPERLINK(""https://www.installateur-bgas.at/installateur-notdienst/"",""Website"")"
Heizung Sanitär H. Uhrmann Ges.m.b.H.;-;office@uhrmann.at;-;1220;Wien;"=HYPERLINK(""http://www.uhrmann.at/"",""Website"")"
Heinzel Installationen GmbH;-;-;-;1170;Wien;"=HYPERLINK(""http://www.heinzel-installationen.at"",""Website"")"
Gastec GmbH;-;office@gastec.at;-;1140;Wien;"=HYPERLINK(""http://www.gastec.at"",""Website"")"
Installateur Kutzer GesmbH;-;office@kutzer.at;-;1030;Wien;"=HYPERLINK(""http://www.kutzer.at"",""Website"")"
1a Installateur - Doubek GesmbH;-;office@doubek.at;-;1030;Wien;"=HYPERLINK(""https://www.1a-doubek.at/"",""Website"")"
Ing. Günter Vida  - Sanitär- und Heizungstechnik, Gasgeräteservice und Reparaturdienst;-;office@immervida.at;-;1120;Wien;"=HYPERLINK(""https://www.immervida.at"",""Website"")"
Korkisch & Partner GmbH;-;office@korkisch.at;-;1130;Wien;"=HYPERLINK(""https://www.korkisch.at"",""Website"")"
Schuh Installationen e.U.;-;schuh.installationen@a1business.at;-;1220;Wien;"=HYPERLINK(""https://www.schuh-installationen.at"",""Website"")"
TSN Installateur GmbH;-;office@installateur-tsn.at;-;1180;Wien;"=HYPERLINK(""https://www.installateur-tsn.at"",""Website"")"
Installateur Schild & Schauer;-;office@installateur-schild-schauer.at;-;1130;Wien;"=HYPERLINK(""https://installateur-schild-schauer.at/"",""Website"")"
Allgas - Volkmann GmbH - Gasgerätekundendienst;-;gasgeraete@allgas.at;-;1160;Wien;"=HYPERLINK(""https://www.allgas.at"",""Website"")"
TSN Installateur GmbH;-;office@installateur-tsn.at;-;1180;Wien;"=HYPERLINK(""https://www.installateur-tsn.at"",""Website"")"
Pölzl Christoph GmbH;-;office@poelzl-installationen.at;-;1060;Wien;"=HYPERLINK(""https://www.poelzl-installationen.at"",""Website"")"
AR All Round Installationen GmbH;-;office@ar-allround-installationen.at;-;1230;Wien;"=HYPERLINK(""http://www.ar-allround-installationen.at"",""Website"")"
REIDER GWH Installationen e.U. Inh Michael Reider;-;office@installateur-reider.com;-;1070;Wien;"=HYPERLINK(""http://www.installateur-reider.com"",""Website"")"
Offner-Service Installationen GesmbH;-;office@offnerwien.at;-;1210;Wien;"=HYPERLINK(""https://offnerwien.at"",""Website"")"
Lugar Installateur GmbH;-;office@lugar.at;-;1230;Wien;"=HYPERLINK(""https://www.lugar.at/wien23/gutscheine/"",""Website"")"
G.S.H.T Installateur Notdienst;-;gsht@aon.at;-;1030;Wien;"=HYPERLINK(""http://www.notdienst-installateur.at"",""Website"")"
Installateur Schild & Schauer;-;office@installateur-schild-schauer.at;-;1130;Wien;"=HYPERLINK(""https://installateur-schild-schauer.at/"",""Website"")"
Lugar Installateur GmbH;-;wien13@lugar.at;-;1130;Wien;"=HYPERLINK(""https://www.lugar.at/wien13/gutscheine/"",""Website"")"
G.S.H.T Installateur Notdienst;-;gsht@aon.at;-;1220;Wien;"=HYPERLINK(""http://www.notdienst-installateur.at"",""Website"")"
Georg Wagner GmbH;-;office@doktor-wasser.at;-;1140;Wien;"=HYPERLINK(""http://www.doktor-wasser.at"",""Website"")"
Peham Ihr Installateur;-;office@peham-fachhandwerk.at;-;3150;Wilhelmsburg;"=HYPERLINK(""https://www.peham-installateur.at/"",""Website"")"
Bernd Rossbacher;-;office@rossbacher-at.com;-;1050;Wien;"=HYPERLINK(""https://www.rossbacher-at.com"",""Website"")"
Günther Weber Installationsges.m.b.H.;-;office@installateur-weber.co.at;-;1210;Wien;"=HYPERLINK(""http://www.installateur-weber.co.at"",""Website"")"
G. Weiner Gas - Wasser - Heizung Gesellschaft m.b.H.;-;office@weiner-gmbh.at;-;1160;Wien;"=HYPERLINK(""http://www.weiner-gmbh.at"",""Website"")"
Ing. Gerd Blasl Gas - Wasser - Heizung GmbH;-;office@blasl-gmbh.at;-;1160;Wien;"=HYPERLINK(""http://www.blasl-gmbh.at"",""Website"")"
J. Remes Gas-Wasser-Heizung GmbH;-;office@remes-gmbh.at;-;1170;Wien;"=HYPERLINK(""http://www.remes-gmbh.at"",""Website"")"
BRANKOVIC HAUSTECHNIK GmbH;-;haustechnik@brankovic.at;-;1140;Wien;"=HYPERLINK(""https://brankovic.at"",""Website"")"
Installateur Fachbetrieb, Thomas Pfeiffer e.U.;-;thomas@ifb-pfeiffer.at;-;1180;Wien;"=HYPERLINK(""http://ifb-pfeiffer.at"",""Website"")"
PB-Installationen GesmbH;-;office@pb-installationen.at;-;1150;Wien;"=HYPERLINK(""https://pb-installationen.at"",""Website"")"
B-GAS - Installateur & Notdienst + Vaillant, Junkers, Baxi Service;-;office@b-gas.at;-;1220;Wien;"=HYPERLINK(""https://www.installateur-bgas.at/installateur-notdienst/"",""Website"")"
Heizung Sanitär H. Uhrmann Ges.m.b.H.;-;office@uhrmann.at;-;1220;Wien;"=HYPERLINK(""http://www.uhrmann.at/"",""Website"")"
Heinzel Installationen GmbH;-;-;-;1170;Wien;"=HYPERLINK(""http://www.heinzel-installationen.at"",""Website"")"
Gastec GmbH;-;office@gastec.at;-;1140;Wien;"=HYPERLINK(""http://www.gastec.at"",""Website"")"
Installateur Kutzer GesmbH;-;office@kutzer.at;-;1030;Wien;"=HYPERLINK(""http://www.kutzer.at"",""Website"")"
1a Installateur - Doubek GesmbH;-;office@doubek.at;-;1030;Wien;"=HYPERLINK(""https://www.1a-doubek.at/"",""Website"")"
Ing. Günter Vida  - Sanitär- und Heizungstechnik, Gasgeräteservice und Reparaturdienst;-;office@immervida.at;-;1120;Wien;"=HYPERLINK(""https://www.immervida.at"",""Website"")"
Korkisch & Partner GmbH;-;office@korkisch.at;-;1130;Wien;"=HYPERLINK(""https://www.korkisch.at"",""Website"")"
Schuh Installationen e.U.;-;schuh.installationen@a1business.at;-;1220;Wien;"=HYPERLINK(""https://www.schuh-installationen.at"",""Website"")"
